district,price
 حي المروج ,1434000
 حي العارض ,980000
 حي النرجس ,1050000
 حي النرجس ,1200000
 حي الياسمين ,1200000
 حي الياسمين ,850000
 حي النرجس ,885000
 حي النرجس ,1200000
 حي النرجس ,930000
 حي العقيق ,1100000
 حي القيروان ,1300000
 حي النرجس ,950000
 حي الملقا ,959000
 حي الملقا ,1190000
 حي الملقا ,1320000
 حي النرجس ,850000
 حي النخيل ,3300000
 حي الملقا ,1100000
 حي القيروان ,850000
 حي الياسمين ,950000
 الرياض ,1375000
 حي الصحافة ,1980000
 حي الياسمين ,1400000
 حي العارض ,990000
 حي القيروان ,1850000
 حي الملقا ,1499000
 حي القيروان ,1100000
 حي النرجس ,1000000
 حي النرجس ,830000
 حي النفل ,1070000
 حي الملقا ,1450000
 حي الياسمين ,990000
 حي الملقا ,1249000
 الرياض ,1190000
 حي النرجس ,950000
 حي النرجس ,1205000
 حي النرجس ,899000
 حي النرجس ,850000
 حي حطين ,1350000
 حي الربيع ,1800000
 حي العقيق ,800000
 حي الربيع ,1379000
 حي النرجس ,1050000
 حي القيروان ,1500000
 الرياض ,1250000
 حي العقيق ,800000
 حي الملقا ,1150000
 حي الصحافة ,2630000
 حي الياسمين ,900000
 حي العارض ,799000
 حي المروج ,969000
 حي الملقا ,1199000
 حي الملقا ,850000
 حي العارض ,1190000
 حي النرجس ,980000
 حي النخيل ,1100000
 الرياض ,715000
 حي الملقا ,1300000
 حي العارض ,1079000
 حي المصيف ,849000
 حي النرجس ,890000
 حي النرجس ,850000
 حي النرجس ,896000
 الرياض ,1369000
 حي النرجس ,1100000
 حي العليا ,3500000
 حي النرجس ,1350000
 حي العارض ,1000000
 حي النرجس ,959000
 حي الفلاح ,1065000
 حي الملقا ,1350000
 حي العارض ,820000
 حي الملقا ,1429000
 حي العارض ,1100000
 حي الملقا ,850000
 حي الملقا ,1700000
 حي النرجس ,985000
 حي حطين ,1260000
 حي النرجس ,830000
 الرياض ,1250000
 حي العارض ,959000
 حي الملقا ,1179000
 الرياض ,715000
 حي حطين ,745000
 حي الندى ,1300000
 حي الملقا ,1200000
 حي العارض ,1200000
 الرياض ,1350000
 الرياض ,1650000
 حي الملك فهد ,980000
 الرياض ,715000
 حي النرجس ,899000
 حي العقيق ,800000
 حي الياسمين ,1550000
 حي النخيل ,1490000
 حي العارض ,1450000
 حي الوادي ,970000
 حي العارض ,1100000
 الرياض ,1350000
 حي الملقا ,1500000
 حي العقيق ,850000
 الرياض ,840000
 حي المصيف ,750000
 حي النفل ,1070000
 حي الملقا ,950000
 حي الملقا ,850000
 حي العقيق ,1100000
 حي النخيل ,1100000
 حي النرجس ,1399000
 حي النرجس ,890000
 حي العقيق ,800000
 حي النفل ,970000
 حي النفل ,850000
 حي الملقا ,1020000
 حي حطين ,715000
 حي العارض ,750000
 الرياض ,985000
 حي النرجس ,849000
 حي الملقا ,1200000
 حي الملقا ,1300000
 حي النرجس ,900000
 حي النرجس ,1650000
 حي النرجس ,830000
 حي التعاون ,1200000
 حي النخيل ,1200000
 حي المغرزات ,1379000
 حي العارض ,1180000
 حي الملقا ,900000
 حي العارض ,1000000
 حي النرجس ,1200000
 الرياض ,1350000
 حي النرجس ,1100000
 حي الياسمين ,1000000
 حي الملقا ,980000
 حي النرجس ,1650000
 حي القيروان ,1600000
 حي حطين ,1260000
 حي النخيل ,3300000
 الرياض ,1100000
 حي القيروان ,1300000
 الرياض ,896000
 حي التعاون ,900000
 حي الملقا ,1176000
 حي النرجس ,799000
 حي الصحافة ,1600000
 حي العارض ,790000
 حي النرجس ,920000
 حي النرجس ,980000
 حي العارض ,990000
 حي الياسمين ,955000
 حي العارض ,900000
 الرياض ,1300000
 حي النرجس ,1255600
 حي العارض ,820000
 حي العارض ,1150000
 حي العقيق ,800000
 حي النرجس ,909000
 حي النرجس ,890000
 حي النرجس ,900000
 حي الياسمين ,1100000
 حي الملقا ,1155000
 حي الفلاح ,1069000
 حي الملقا ,1600000
 حي الربيع ,1000000
 حي الياسمين ,1250000
 حي الياسمين ,900000
 حي النرجس ,980000
 الرياض ,2550000
 حي القيروان ,950000
 حي النرجس ,1070000
 حي الملقا ,860000
 حي العارض ,910000
 حي النرجس ,930000
 حي الندى ,1089000
 حي العارض ,1289000
 حي القيروان ,1328465
 حي العارض ,1000000
 حي النرجس ,830000
 حي النرجس ,900000
 حي العارض ,900000
 حي الملقا ,1350000
 حي العارض ,1200000
 حي القيروان ,1300000
 حي العارض ,750000
 حي النرجس ,1200000
 حي النرجس ,930000
 حي النرجس ,900000
 حي النرجس ,1155000
 حي النفل ,1070000
 حي الياسمين ,850000
 حي العارض ,1190000
 حي القيروان ,1400000
 حي النرجس ,1179000
 حي العقيق ,700000
 حي العارض ,959000
 حي النرجس ,1100000
 حي العارض ,1200000
 حي النرجس ,830000
 الرياض ,1199000
 حي الصحافة ,1980000
 حي الوادي ,800000
 حي حطين ,1400000
 حي الملقا ,850000
 حي المصيف ,1100000
 حي النرجس ,950000
 حي التعاون ,900000
 حي الندى ,839000
 الرياض ,1250000
 حي العارض ,799000
 حي القيروان ,1730000
 حي العارض ,910000
 حي العارض ,750000
 حي الملقا ,1300000
 حي الندى ,1429000
 حي العارض ,980000
 حي النرجس ,890000
 حي حطين ,1400000
 حي النرجس ,1150000
 حي حطين ,1299000
 حي الملقا ,1179000
 حي العارض ,1160000
 حي الوادي ,800000
 حي القيروان ,1390000
 الرياض ,957000
 حي الملقا ,799000
 حي المرسلات ,1400000
 حي المغرزات ,1179000
 حي التعاون ,1620000
 حي النرجس ,1100000
 حي الملقا ,1700000
 حي حطين ,1390000
 حي النرجس ,1233000
 حي النخيل ,1200000
 حي الملقا ,1179000
 الرياض ,1250000
 حي النرجس ,1029000
 حي النرجس ,830000
 الرياض ,896000
 حي الياسمين ,1189000
 حي الياسمين ,850000
 حي القيروان ,850000
 حي النرجس ,1255600
 حي النرجس ,985000
 حي المغرزات ,1375000
 حي الندى ,1149000
 حي الملقا ,1250000
 حي الوادي ,970000
 الرياض ,957000
 حي النرجس ,950000
 حي النرجس ,1155000
 حي حطين ,1300000
 حي العارض ,1190000
 حي القيروان ,1079000
 حي النرجس ,859000
 الرياض ,995000
 الرياض ,896000
 حي القيروان ,1100000
 حي العارض ,959000
 حي الربيع ,940000
 حي النرجس ,1250000
 حي العقيق ,700000
 حي الملقا ,1099000
 حي حطين ,945000
 حي النرجس ,906000
 حي المروج ,800000
 الرياض ,950000
 الرياض ,1250000
 حي النرجس ,985000
 الرياض ,1350000
 حي النرجس ,920000
 حي الملقا ,1100000
 حي التعاون ,1200000
 حي الملقا ,1000000
 حي الوادي ,979000
 حي القيروان ,949000
 الرياض ,1300000
 حي النرجس ,890000
 حي النزهة ,1500000
 حي العقيق ,800000
 حي الملقا ,1150000
 الرياض ,840000
 حي المروج ,800000
 حي العارض ,895000
 حي المصيف ,849000
 حي النرجس ,1000000
 الرياض ,1700000
 حي النرجس ,920000
 حي العارض ,920000
 حي القيروان ,960000
 حي حطين ,1245000
 حي النرجس ,846000
 حي الصحافة ,1980000
 حي الياسمين ,1250000
 حي القيروان ,1600000
 حي النرجس ,1570000
 حي النفل ,1550000
 حي النفل ,1550000
 حي النرجس ,1019000
 حي الملقا ,959000
 حي الصحافة ,889000
 حي الملقا ,1150000
 حي العارض ,859000
 حي الملقا ,1199000
 حي الياسمين ,1000000
 حي القيروان ,949000
 حي الملقا ,1150000
 حي المروج ,1064000
 حي النرجس ,899000
 حي العقيق ,800000
 حي الملقا ,1300000
 حي النرجس ,930000
 حي النرجس ,1142500
 حي الملقا ,1200000
 حي العارض ,750000
 حي الياسمين ,1300000
 حي العارض ,1100000
 حي الياسمين ,850000
 حي النرجس ,850000
 حي الندى ,1049000
 حي النرجس ,1127500
 حي الملقا ,1250000
 حي العارض ,790000
 حي الملقا ,1700000
 حي الربيع ,1800000
 حي العارض ,990000
 حي الملقا ,1300000
 ,1380000
 الرياض ,750000
 حي القيروان ,950000
